Timestamp,Email Address,What is your age range?,What is your academic year?,What is your primary field of study?,What is your gender identity?,What type of exercise do you do most often?,When do you usually exercise?,Why do you exercise at the time you selected?,How many days per week do you typically exercise?,Where do you usually exercise?,Why do you exercise in the location you selected?,Why do you primarily exercise?,What prevents you from exercising more often?
1/29/2026 9:29:14,,21-23,Senior,STEM,Woman,"Weightlifting / strength training, Intensive cardio (running, cycling, etc.), Walking / light activity",Early morning (before 9 AM),"Fits my class / work schedule, I have more energy at that time, Gym is less crowded",3-4 days,Campus Gym,"Convinience, Available equipment, Social environment","Physical health, Appearance / aesthetics, Stress relief / mental health, Social reasons",I am satisfied with my current routine
1/29/2026 9:34:24,,21-23,Senior,STEM,Woman,Walking / light activity,Afternoon (12 PM – 5 PM),"Fits my class / work schedule, I have more energy at that time",3-4 days,Outdoors,"Convinience, Cost","Physical health, Appearance / aesthetics, Stress relief / mental health","Lack of time, Injury or health concerns, Gym anxiety"
1/29/2026 9:34:28,,21-23,Graduate Student,STEM,Man,"Intensive cardio (running, cycling, etc.), Walking / light activity",Late night (after 9 PM),Fits my class / work schedule,1-2 days,Outdoors,"Convinience, Other","Physical health, Stress relief / mental health",Lack of time
1/29/2026 9:42:06,,21-23,Senior,Business,Woman,"Walking / light activity, I do not exercise regularly",I do not exercise regularly,I do not exercise regularly,0,Campus Gym,"Convinience, I do not exercise regularly",Stress relief / mental health,"Lack of time, Lack of motivation, Inconvinience, Gym anxiety"
1/29/2026 9:55:38,,18-20,Junior,STEM,Man,"Intensive cardio (running, cycling, etc.), Sports / recreational athletics",Evening (5 PM – 9 PM),"Helps me stay consistent, Habit / routine",3-4 days,Outdoors,Social environment,"Appearance / aesthetics, Athletic performance",I am satisfied with my current routine
1/29/2026 10:31:35,,21-23,Sophomore,STEM,Man,Weightlifting / strength training,Late night (after 9 PM),"Fits my class / work schedule, Helps me stay consistent, I have more energy at that time",3-4 days,Commercial Gym,"Convinience, Privacy","Physical health, Appearance / aesthetics, Stress relief / mental health, Athletic performance, Other",Lack of time
1/29/2026 10:51:23,,21-23,Graduate Student,STEM,Man,"Walking / light activity, I do not exercise regularly",I do not exercise regularly,I do not exercise regularly,0,Outdoors,"Convinience, I do not exercise regularly","Physical health, Appearance / aesthetics, Other","Lack of time, Lack of motivation"
1/29/2026 11:04:39,,21-23,Sophomore,Arts / Design,Man,Weightlifting / strength training,Late morning (9 AM – 12 PM),"Fits my class / work schedule, Helps me stay consistent, Gym is less crowded",3-4 days,Commercial Gym,"Convinience, Available equipment","Physical health, Appearance / aesthetics, Stress relief / mental health, Athletic performance",I am satisfied with my current routine
1/29/2026 11:25:45,,21-23,Senior,Arts / Design,Woman,"Walking / light activity, I do not exercise regularly",Late morning (9 AM – 12 PM),Fits my class / work schedule,5-6 days,Outdoors,"Convinience, Social environment",Physical health,"Lack of time, Lack of motivation"
1/29/2026 11:42:35,,21-23,Senior,Business,Woman,"Intensive cardio (running, cycling, etc.), Walking / light activity",Evening (5 PM – 9 PM),"Fits my class / work schedule, Habit / routine",5-6 days,Campus Gym,Convinience,"Physical health, Appearance / aesthetics, Stress relief / mental health","Lack of time, Gym anxiety"
1/29/2026 12:04:46,,21-23,Senior,Humanities,Woman,"Weightlifting / strength training, Walking / light activity, Sports / recreational athletics",Early morning (before 9 AM),"Fits my class / work schedule, Helps me stay consistent, Gym is less crowded, Habit / routine",5-6 days,Campus Gym,"Convinience, Cost","Physical health, Appearance / aesthetics, Stress relief / mental health",I am satisfied with my current routine
1/29/2026 12:18:00,,21-23,Junior,STEM,Man,"Weightlifting / strength training, Walking / light activity",Evening (5 PM – 9 PM),Fits my class / work schedule,1-2 days,Commercial Gym,"Convinience, Cost","Physical health, Appearance / aesthetics","Lack of time, Lack of motivation"
1/29/2026 12:31:31,,21-23,Senior,STEM,Woman,I do not exercise regularly,I do not exercise regularly,I do not exercise regularly,0,Outdoors,I do not exercise regularly,Social reasons,"Lack of time, Lack of motivation, Inconvinience, Injury or health concerns"
1/29/2026 12:32:48,,21-23,Senior,STEM,Man,"Weightlifting / strength training, Intensive cardio (running, cycling, etc.), Walking / light activity",Afternoon (12 PM – 5 PM),"Fits my class / work schedule, I have more energy at that time, Habit / routine",5-6 days,Campus Gym,"Convinience, Cost","Appearance / aesthetics, Social reasons","Lack of time, Lack of motivation"
1/29/2026 13:15:10,,18-20,Sophomore,STEM,Other,Walking / light activity,Afternoon (12 PM – 5 PM),"Fits my class / work schedule, Habit / routine",5-6 days,Outdoors,Convinience,"Stress relief / mental health, Social reasons","Lack of motivation, Injury or health concerns"
1/29/2026 18:40:48,,21-23,Senior,STEM,Man,"Weightlifting / strength training, Intensive cardio (running, cycling, etc.), Sports / recreational athletics",Evening (5 PM – 9 PM),"Fits my class / work schedule, Helps me stay consistent, Gym is less crowded, Habit / routine",5-6 days,Campus Gym,"Convinience, Cost","Physical health, Appearance / aesthetics, Stress relief / mental health, Athletic performance","Lack of time, Lack of motivation, Inconvinience"